year,wheat_produced,wheat_sold,canola_produced,barley_produced
1990,126,123,0,16
1991,60,55,0,20
1992,51,47,2,42
1993,96,90,1,30
1994,87,83,5,40
1995,40,32,6,10
1996,123,101,9,48
1997,136,133,15,44
1998,70,71,11,44
1999,79,85,23,39
2000,122,110,25,39
2001,173,167,31,71
2002,172,171,35,61
2003,30,15,6,11
2004,222,213,32,117
2005,108,106,25,53
2006,133,126,22,96
2007,37,31,4,40
2008,70,50,6,48
2009,78,71,6,28
2010,197,192,14,101
2011,358,305,60,137
2012,358,355,72,120
2013,298,244,83,115